Most common words,Absolute frequency,Relative frequency
place,226.0,0.0010544930268149178
grey,225.0,0.0010498271284661792
sister,224.0,0.0010451612301174407
small,223.0,0.0010404953317687021
always,222.0,0.0010358294334199636
dark,221.0,0.001031163535071225
lost,220.0,0.0010264976367224863
high,218.0,0.0010171658400250092
killed,216.0,0.001007834043327532
tywin,216.0,0.001007834043327532
shall,215.0,0.0010031681449787935
perhaps,215.0,0.0010031681449787935
winterfell,215.0,0.0010031681449787935
battle,211.0,0.0009845045515838391
robert,207.0,0.0009658409581888849
may,206.0,0.0009611750598401463
something,205.0,0.0009565091614914077
voice,205.0,0.0009565091614914077
kill,203.0,0.0009471773647939306
wife,203.0,0.0009471773647939306
north,200.0,0.0009331796697477149
true,199.0,0.0009285137713989763
going,195.0,0.000909850178004022
others,194.0,0.0009051842796552835
end,194.0,0.0009051842796552835
mance,194.0,0.0009051842796552835
seven,192.0,0.0008958524829578063
sent,192.0,0.0008958524829578063
died,192.0,0.0008958524829578063
brienne,192.0,0.0008958524829578063
soon,191.0,0.0008911865846090677
leave,187.0,0.0008725229912141134
felt,186.0,0.0008678570928653749
fingers,186.0,0.0008678570928653749
river,186.0,0.0008678570928653749
words,186.0,0.0008678570928653749
years,185.0,0.0008631911945166362
young,185.0,0.0008631911945166362
die,183.0,0.0008538593978191591
along,182.0,0.0008491934994704206
strong,182.0,0.0008491934994704206
beside,181.0,0.0008445276011216819
wind,180.0,0.0008398617027729434
arm,180.0,0.0008398617027729434
children,179.0,0.0008351958044242048
green,178.0,0.0008305299060754663
sound,178.0,0.0008305299060754663
door,178.0,0.0008305299060754663
hodor,178.0,0.0008305299060754663
iron,177.0,0.0008258640077267276
mean,177.0,0.0008258640077267276
past,175.0,0.0008165322110292505
far,175.0,0.0008165322110292505
daughter,175.0,0.0008165322110292505
house,174.0,0.000811866312680512
brought,174.0,0.000811866312680512
tower,171.0,0.0007978686176342962
light,170.0,0.0007932027192855577
hound,170.0,0.0007932027192855577
walder,169.0,0.0007885368209368191
best,169.0,0.0007885368209368191
got,168.0,0.0007838709225880805
walls,168.0,0.0007838709225880805
thing,167.0,0.0007792050242393419
tried,167.0,0.0007792050242393419
cut,166.0,0.0007745391258906034
sweet,165.0,0.0007698732275418648
heart,164.0,0.0007652073291931262
