Most common words,Absolute frequency,Relative frequency
lord,1516.0,0.009149285438393202
said,1455.0,0.00878114136732329
one,1177.0,0.007103370027037466
ser,1148.0,0.006928350714561607
could,932.0,0.005624758594051757
man,906.0,0.00546784472769409
king,817.0,0.004930716492854384
men,753.0,0.00454446697566628
tyrion,701.0,0.004230639242950946
back,671.0,0.004049584781769023
well,663.0,0.00400130359212051
like,618.0,0.0037297219003476247
see,562.0,0.003391753572808034
never,558.0,0.0033676129779837776
even,523.0,0.0031563827732715333
black,508.0,0.0030658555426805716
hand,498.0,0.0030055040556199305
thought,488.0,0.0029451525685592894
father,488.0,0.0029451525685592894
jon,487.0,0.0029391174198532253
old,485.0,0.002927047122441097
made,471.0,0.002842555040556199
know,458.0,0.0027640981073773657
arya,457.0,0.0027580629586713016
told,446.0,0.0026916763229045963
lady,436.0,0.0026313248358439552
brother,436.0,0.0026313248358439552
bran,434.0,0.002619254538431827
long,434.0,0.002619254538431827
come,428.0,0.0025830436461954424
theon,423.0,0.002552867902665122
time,422.0,0.0025468327539590577
eyes,420.0,0.0025347624565469295
way,418.0,0.0025226921591348012
must,399.0,0.0024080243337195827
stannis,388.0,0.0023416376979528775
red,384.0,0.002317497103128621
us,380.0,0.0022933565083043646
face,371.0,0.0022390401699497876
head,369.0,0.0022269698725376594
boy,369.0,0.0022269698725376594
might,367.0,0.002214899575125531
great,364.0,0.002196794129007339
came,354.0,0.0021364426419466977
still,352.0,0.0021243723445345695
night,349.0,0.002106266898416377
good,341.0,0.002057985708767864
go,339.0,0.0020459154113557356
take,333.0,0.002009704519119351
saw,331.0,0.0019976342217072228
maester,330.0,0.0019915990730011587
dead,328.0,0.0019795287755890304
make,326.0,0.001967458478176902
say,326.0,0.001967458478176902
two,325.0,0.001961423329470838
away,324.0,0.001955388180764774
little,322.0,0.0019433178833526458
yet,314.0,0.0018950366937041329
took,313.0,0.0018890015449980688
sansa,312.0,0.0018829663962920047
gods,303.0,0.0018286500579374277
son,301.0,0.0018165797605252994
catelyn,297.0,0.0017924391657010428
though,297.0,0.0017924391657010428
renly,295.0,0.0017803688682889146
three,287.0,0.0017320876786404017
stark,287.0,0.0017320876786404017
joffrey,285.0,0.0017200173812282735
half,282.0,0.0017019119351100811
look,281.0,0.001695876786404017
day,278.0,0.0016777713402858247
tell,277.0,0.0016717361915797606
blood,274.0,0.0016536307454615682
enough,272.0,0.00164156044804944
queen,271.0,0.001635525299343376
want,270.0,0.0016294901506373118
knew,266.0,0.0016053495558130551
castle,265.0,0.001599314407106991
heard,264.0,0.001593279258400927
girl,262.0,0.0015812089609887987
left,262.0,0.0015812089609887987
gave,258.0,0.0015570683661645423
sword,258.0,0.0015570683661645423
much,256.0,0.001544998068752414
white,256.0,0.001544998068752414
keep,256.0,0.001544998068752414
went,254.0,0.0015329277713402858
around,254.0,0.0015329277713402858
water,252.0,0.0015208574739281576
first,252.0,0.0015208574739281576
every,250.0,0.0015087871765160294
across,247.0,0.001490681730397837
think,246.0,0.001484646581691773
called,244.0,0.0014725762842796447
robb,239.0,0.0014424005407493242
let,238.0,0.00143636539204326
looked,238.0,0.00143636539204326
need,238.0,0.00143636539204326
behind,234.0,0.0014122247972190034
asked,233.0,0.0014061896485129393
fire,232.0,0.0014001544998068752
walls,231.0,0.001394119351100811
lannister,229.0,0.0013820490536886828
end,229.0,0.0013820490536886828
turned,229.0,0.0013820490536886828
winterfell,229.0,0.0013820490536886828
cersei,229.0,0.0013820490536886828
gold,228.0,0.0013760139049826187
nothing,224.0,0.0013518733101583623
davos,222.0,0.001339803012746234
ever,222.0,0.001339803012746234
hear,219.0,0.0013216975666280417
seemed,216.0,0.0013035921205098494
knight,216.0,0.0013035921205098494
hard,214.0,0.0012915218230977212
