Most common words,GOT1 relative frequency,GOT2 relative frequency,Relative frequency difference
outlaws,1.2070297412128235e-05,0.0002892856976217916,0.0002772154002096634
anguy,0.0,0.00027528800257557587,0.00027528800257557587
iron,0.0010983970645036694,0.0008258640077267276,0.0002725330567769418
pie,0.0008026747779065276,0.0005319124117561974,0.00027076236615033013
two,0.001961423329470838,0.0022302994106970387,0.0002688760812262006
slave,3.0175743530320587e-05,0.0002986174943192688,0.00026844175078894817
prince,0.0008328505214368482,0.0011011520103023035,0.00026830148886545526
cersei,0.0013820490536886828,0.0011151497053485194,0.0002668993483401635
arm,0.0005733391270760912,0.0008398617027729434,0.0002665225756968522
asked,0.0014061896485129393,0.0016703916088484096,0.00026420196033547037
talk,0.0006457609115488606,0.0003826036645965631,0.0002631572469522975
paul,0.0,0.00026129030752936017,0.00026129030752936017
arrow,0.00016898416376979529,0.00042926264808394884,0.0002602784843141535
chett,6.63866357667053e-05,0.00032661288441170023,0.0002602262486449949
harwin,6.035148706064117e-06,0.0002659562058780987,0.0002599210571720346
command,0.0006517960602549247,0.00039193546129404023,0.00025986059896088447
littlefinger,0.0005069524913093858,0.0002472926124831444,0.0002596598788262414
pyp,3.0175743530320587e-05,0.0002892856976217916,0.000259109954091471
cloaks,0.0006276554654306683,0.0003686059695503474,0.0002590494958803209
jorah,0.00040435496330629584,0.0006625575655208776,0.0002582026022145817
commander,0.0003681440710699112,0.000625230378730969,0.0002570863076610578
rayder,0.00010259752800309,0.00035927417285287023,0.00025667664484978024
wed,0.0003500386249517188,0.0006065667853360146,0.00025652816038429586
brothers,0.0008871668597914252,0.001138479197092212,0.00025131233730078687
ghost,0.0005491985322518347,0.0002986174943192688,0.00025058103793256593
brienne,0.0006457609115488606,0.0008958524829578063,0.0002500915714089457
little,0.0019433178833526458,0.00219297222390713,0.0002496543405544841
killed,0.0007604287369640788,0.001007834043327532,0.0002474053063634533
afraid,0.00045263615295480883,0.00020529952734449727,0.00024733662561031157
fool,0.000875096562379297,0.0006298962770797075,0.0002452002852995895
say,0.001967458478176902,0.002211635817302084,0.00024417733912518187
stand,0.0002414059482425647,0.00048525342826881174,0.00024384748002624705
door,0.001074256469679413,0.0008305299060754663,0.0002437265636039467
kraznys,0.0,0.00024262671413440587,0.00024262671413440587
make,0.001967458478176902,0.0017263823890332724,0.00024107608914362977
